TITLE = v_vectors
VARIABLES = "x", "y", "V"
Zone T = "BLOCK1", i=101, j=101, F=POINT


0.02	0.37	0.0206999
0.02	0.38	0.0217839
0.02	0.39	0.0228769
0.02	0.4	0.0239768
0.02	0.41	0.0250816
0.02	0.42	0.0261894
0.02	0.43	0.0272983
0.02	0.44	0.0284063
0.02	0.45	0.0295115
0.02	0.46	0.0306122
0.02	0.47	0.0317066
0.02	0.48	0.032793
0.02	0.49	0.03387
0.02	0.5	0.0349361
0.02	0.51	0.0359902
0.02	0.52	0.0370312
0.02	0.53	0.0380583
0.02	0.54	0.039071
0.02	0.55	0.0400689
0.02	0.56	0.0410523
0.02	0.57	0.0420215
0.02	0.58	0.0429773
0.02	0.59	0.043921
0.02	0.6	0.0448546
0.02	0.61	0.0457802
0.02	0.62	0.046701
0.02	0.63	0.0476208
0.02	0.64	0.048544
0.02	0.65	0.0494763
0.02	0.66	0.0504241
0.02	0.67	0.0513953
0.02	0.68	0.0523989
0.02	0.69	0.0534456
0.02	0.7	0.0545479
0.02	0.71	0.0557205
0.02	0.72	0.0569801
0.02	0.73	0.0583467
0.02	0.74	0.0598433
0.02	0.75	0.0614966
0.02	0.76	0.063338
0.02	0.77	0.0654041
0.02	0.78	0.0677377
0.02	0.79	0.0703889
0.02	0.8	0.0734166
0.02	0.81	0.0768902
0.02	0.82	0.0808917
0.02	0.83	0.085518
0.02	0.84	0.0908844
0.02	0.85	0.0971286
0.02	0.86	0.104415
0.02	0.87	0.112941
0.02	0.88	0.122945
0.02	0.89	0.134709
0.02	0.9	0.148568
0.02	0.91	0.164902
0.02	0.92	0.184105
0.02	0.93	0.20648
0.02	0.94	0.231962
0.02	0.95	0.2594
0.02	0.96	0.284875
0.02	0.97	0.298026
0.02	0.98	0.275559
0.02	0.99	0.17775
0.02	1	0
0.03	0	0
0.03	0.01	-1.70022e-05
0.03	0.02	-3.77135e-05
0.03	0.03	-4.18566e-05
0.03	0.04	-1.48644e-05
0.03	0.05	5.38335e-05
0.03	0.06	0.000171743
0.03	0.07	0.000344002
0.03	0.08	0.00057396
0.03	0.09	0.000863635
0.03	0.1	0.00121408
0.03	0.11	0.00162565
0.03	0.12	0.00209821
0.03	0.13	0.00263124
0.03	0.14	0.003224
0.03	0.15	0.00387555
0.03	0.16	0.00458481
0.03	0.17	0.00535061
0.03	0.18	0.00617169
0.03	0.19	0.00704672
0.03	0.2	0.00797431
0.03	0.21	0.00895302
0.03	0.22	0.00998135
0.03	0.23	0.0110577
0.03	0.24	0.0121805
0.03	0.25	0.013348
0.03	0.26	0.0145584
0.03	0.27	0.0158099
0.03	0.28	0.0171006
0.03	0.29	0.0184284
0.03	0.3	0.0197913
0.03	0.31	0.0211871
0.03	0.32	0.0226136
0.03	0.33	0.0240683
0.03	0.34	0.025549
0.03	0.35	0.027053
0.03	0.36	0.0285779
0.03	0.37	0.030121
0.03	0.38	0.0316796
0.03	0.39	0.0332511
0.03	0.4	0.0348327
0.03	0.41	0.0364216
0.03	0.42	0.0380151
0.03	0.43	0.0396104
0.03	0.44	0.0412049
0.03	0.45	0.0427958
0.03	0.46	0.0443807
0.03	0.47	0.045957
0.03	0.48	0.0475225
0.03	0.49	0.049075
0.03	0.5	0.0506126
0.03	0.51	0.0521334
0.03	0.52	0.0536362
0.03	0.53	0.0551196
0.03	0.54	0.0565829
0.03	0.55	0.0580257
0.03	0.56	0.059448
0.03	0.57	0.0608505
0.03	0.58	0.0622341
0.03	0.59	0.0636006
0.03	0.6	0.0649524
0.03	0.61	0.0662929
0.03	0.62	0.0676261
0.03	0.63	0.0689571
0.03	0.64	0.0702921
0.03	0.65	0.0716386
0.03	0.66	0.0730055
0.03	0.67	0.0744033
0.03	0.68	0.0758442
0.03	0.69	0.0773427
0.03	0.7	0.0789153
0.03	0.71	0.0805816
0.03	0.72	0.0823639
0.03	0.73	0.0842883
0.03	0.74	0.0863847
0.03	0.75	0.0886879
0.03	0.76	0.091238
0.03	0.77	0.0940812
0.03	0.78	0.097271
0.03	0.79	0.100869
0.03	0.8	0.104947
0.03	0.81	0.109586
0.03	0.82	0.114881
0.03	0.83	0.120941
0.03	0.84	0.12789
0.03	0.85	0.135869
0.03	0.86	0.145038
0.03	0.87	0.155573
0.03	0.88	0.167662
0.03	0.89	0.181492
0.03	0.9	0.19722
0.03	0.91	0.214915
0.03	0.92	0.234433
0.03	0.93	0.255168
0.03	0.94	0.275571
0.03	0.95	0.29224
0.03	0.96	0.29838
0.03	0.97	0.281772
0.03	0.98	0.224474
0.03	0.99	0.114411
0.03	1	0
0.04	0	0
0.04	0.01	-9.5814e-06
0.04	0.02	-1.10807e-05
0.04	0.03	1.51559e-05
0.04	0.04	8.37215e-05
0.04	0.05	0.000205538
0.04	0.06	0.000388665
0.04	0.07	0.000638881
0.04	0.08	0.000960159
0.04	0.09	0.00135506
0.04	0.1	0.00182507
0.04	0.11	0.00237084
0.04	0.12	0.00299243
0.04	0.13	0.00368943
0.04	0.14	0.00446108
0.04	0.15	0.00530636
0.04	0.16	0.00622408
0.04	0.17	0.00721286
0.04	0.18	0.0082712
0.04	0.19	0.00939752
0.04	0.2	0.0105901
0.04	0.21	0.0118472
0.04	0.22	0.0131669
0.04	0.23	0.0145473
0.04	0.24	0.0159863
0.04	0.25	0.0174819
0.04	0.26	0.0190317
0.04	0.27	0.0206335
0.04	0.28	0.0222848
0.04	0.29	0.0239831
0.04	0.3	0.0257258
0.04	0.31	0.0275102
0.04	0.32	0.0293334
0.04	0.33	0.0311925
0.04	0.34	0.0330845
